Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Day_of_Month,Month
32,11.9,28.1,0.0,8.8,12.4,12,48.0,9,12,11.0,33.0,40.0,37.0,1017.8,1014.5,1.0,1.0,20.8,25.3,0,0,24,10.0
11,12.8,25.7,0.0,4.68,11.3,4,46.0,6,4,11.0,35.0,58.0,63.0,1018.8,1015.5,1.0,1.0,22.2,22.9,0,0,3,11.0
18,15.0,25.3,0.0,5.6,0.1,7,48.0,3,6,24.0,24.0,70.0,31.0,1012.8,1010.5,5.6,2.2,17.4,25.2,0,1,13,11.0
44,5.2,13.2,0.0,2.8,9.2,3,46.0,4,3,9.0,20.0,84.0,68.0,1025.0,1021.9,1.0,1.0,8.7,12.0,0,0,3,7.0
27,18.2,20.9,0.0,2.2,0.1,5,43.0,5,5,17.0,20.0,79.0,79.0,1017.1,1014.3,7.0,7.0,19.8,20.0,0,1,9,6.0
4,17.0,30.6,0.0,6.959999999999999,6.68,1,26.0,8,5,2.0,15.0,100.0,50.0,1022.0,1019.2,7.0,4.2,21.4,28.9,0,0,1,3.0
43,17.8,25.4,0.0,6.959999999999999,6.68,9,26.0,2,8,9.0,13.0,81.0,74.0,1012.0,1010.5,6.0,6.4,20.5,24.2,0,0,18,3.0
38,21.8,30.5,0.0,5.8,10.1,4,43.0,5,1,15.0,30.0,67.0,55.0,1020.4,1017.1,1.0,1.0,26.3,28.8,0,0,10,2.0
39,23.8,28.5,4.2,1.8,0.6,0,43.0,2,9,15.0,17.0,76.0,91.0,1009.5,1007.9,7.0,8.0,27.0,24.6,1,1,28,1.0
47,9.6,17.3,0.0,4.6,8.16,12,44.0,12,4,13.0,19.0,44.0,49.0,1023.1,1020.5,2.8,2.4,14.6,15.9,0,0,22,8.0
10,8.2,22.0,0.0,4.2,8.02,0,30.0,0,0,19.0,13.0,54.0,33.0,1033.0,1029.7,1.0,1.0,14.7,21.9,0,0,16,5.0
34,7.7,15.8,7.2,1.9,5.540000000000001,11,48.0,8,11,13.0,30.0,64.0,55.0,1009.2,1010.8,3.0,4.8,11.0,14.2,1,0,8,8.0
43,12.1,25.6,0.2,6.959999999999999,6.68,6,31.0,1,13,4.0,11.0,100.0,52.0,1021.0,1018.5,6.4,3.0,16.0,24.6,0,0,20,4.0
34,5.5,24.9,0.2,6.959999999999999,6.68,5,11.0,3,4,0.0,4.0,90.0,36.0,1030.7,1026.3,4.4,4.0,11.9,23.4,0,0,17,5.0
5,7.3,11.3,0.0,2.18,2.4799999999999995,4,54.0,5,5,28.0,17.0,93.0,98.0,1017.4,1015.1,6.4,8.0,8.3,9.9,0,1,12,6.0
44,9.7,28.4,0.2,4.6,10.7,11,52.0,1,6,9.0,15.0,69.0,33.0,1015.5,1012.7,0.0,2.0,18.1,27.2,0,1,15,11.0
48,17.2,28.3,0.0,15.0,9.3,10,56.0,10,9,33.0,31.0,42.0,16.0,1016.1,1013.9,7.0,3.0,18.1,26.3,0,0,1,3.0
5,12.7,28.8,0.0,6.959999999999999,6.68,3,37.0,4,4,20.0,13.0,65.0,38.0,1019.8,1017.5,2.8,4.8,19.7,27.2,0,0,5,3.0
9,-2.7,15.2,0.0,4.0,9.7,3,30.0,12,14,6.0,20.0,62.0,35.0,1022.8,1017.9,1.0,2.0,6.3,14.9,0,0,10,9.0
8,18.0,27.0,0.0,4.8,9.96,9,41.0,10,2,15.0,30.0,69.0,56.0,1019.6,1016.0,3.2,3.0,23.8,26.7,0,0,12,8.0
23,7.0,14.0,0.8,2.6399999999999997,4.74,13,36.4,3,9,15.0,20.2,81.2,74.8,1026.1,1024.1200000000001,7.2,7.4,9.7,14.440000000000001,0,1,11,4.0
20,6.5,19.2,0.0,2.8,4.9,15,35.0,13,12,11.0,15.0,68.0,44.0,1022.0,1020.3,1.0,6.0,13.1,18.1,0,0,11,5.0
4,12.1,21.6,0.0,5.0,5.040000000000001,12,30.0,12,8,17.0,15.0,66.0,64.0,1025.0,1022.8,3.6,5.2,17.6,19.9,0,1,10,4.0
21,7.4,14.4,4.0,2.2,4.24,13,34.2,3,9,15.8,16.6,86.0,60.0,1015.1,1014.8,8.0,8.0,9.1,13.7,1,0,25,8.0
37,18.5,26.7,0.0,7.4,11.3,4,41.0,3,4,13.0,26.0,68.0,47.0,1020.0,1017.9,3.6,1.8,22.8,26.0,0,0,16,2.0
9,6.7,19.3,0.0,3.6,7.6,10,41.0,8,0,20.0,20.0,62.0,55.0,1022.8,1020.5,1.0,7.0,15.7,17.6,0,0,19,4.0
33,9.5,16.2,5.8,1.8,7.2,14,43.0,11,15,13.0,19.0,56.0,59.0,1019.3,1018.6,5.0,5.0,12.7,14.7,1,0,27,4.0
11,9.8,22.8,0.6,5.6,9.2,4,33.0,15,1,6.0,22.0,64.0,45.0,1026.6,1022.9,7.0,1.0,17.8,21.8,0,0,12,11.0
8,20.1,29.2,0.0,5.6,8.6,1,31.0,9,4,11.0,15.0,68.0,68.0,1013.8,1010.7,2.0,8.0,26.7,26.6,0,0,13,10.0
8,26.0,31.6,0.6,7.24,0.7,13,83.0,10,8,39.0,13.0,70.0,84.0,1004.7,997.9,6.0,5.8,28.3,26.0,0,1,2,2.0
27,16.0,20.4,0.0,6.4,9.5,11,31.0,8,11,13.0,20.0,60.0,54.0,1021.1,1018.8,5.0,2.0,18.3,19.6,0,0,5,5.0
1,19.2,31.0,0.0,7.6,13.1,13,38.0,1,2,11.0,24.0,55.0,72.0,1007.6,1003.2,0.0,1.0,26.9,25.4,0,0,29,12.0
44,5.9,22.8,0.0,1.6,8.3,4,44.0,1,3,6.0,26.0,100.0,42.0,1025.6,1019.1,7.0,4.0,8.9,22.2,0,0,3,5.0
12,9.3,15.2,0.8,0.6,1.7,7,35.0,6,7,13.0,19.0,100.0,99.0,1024.8,1024.3,4.8,6.4,12.1,13.3,0,1,24,6.0
36,11.5,21.1,5.6,2.6,6.7,6,39.0,6,7,15.0,19.0,84.0,59.0,1024.72,1022.3,6.0,6.4,16.5,20.2,1,1,20,6.0
14,23.0,28.4,0.2,8.52,12.620000000000001,9,52.0,9,8,28.0,31.0,55.0,72.0,1019.0,1018.1,5.2,7.2,25.8,23.6,0,1,8,1.0
14,21.6,30.1,6.0,7.839999999999999,12.74,2,57.0,0,0,24.0,28.0,66.0,69.0,1017.5,1015.4,2.6,5.4,28.2,28.0,1,0,30,1.0
35,8.0,18.4,0.0,2.2,2.9,1,31.0,14,2,7.0,11.0,79.0,60.0,1024.6,1022.8,3.0,4.0,14.5,17.5,0,0,14,4.0
0,21.6,25.5,0.0,7.2,2.3,10,31.0,9,11,11.0,13.0,68.0,62.0,1008.6,1006.2,5.2,5.8,24.0,24.5,0,0,11,1.0
44,9.5,14.6,5.0,1.8,5.5,11,35.0,13,11,11.0,19.0,99.0,68.0,1019.0,1018.5,5.0,2.0,10.2,13.5,1,0,15,6.0
43,10.2,27.2,0.0,4.24,6.220000000000001,15,41.0,6,15,17.0,19.0,37.0,41.0,1012.3,1011.9,2.0,2.4,22.3,23.8,0,0,19,10.0
30,11.9,24.8,0.0,6.959999999999999,6.68,3,15.0,3,7,0.0,2.0,97.0,57.0,1022.1200000000001,1019.9,5.8,2.8,15.7,24.1,0,0,10,4.0
35,10.2,26.8,0.0,10.0,12.7,2,37.0,2,2,6.0,24.0,64.0,40.0,1017.7,1014.1,0.0,0.0,17.7,25.3,0,0,6,2.0
1,17.7,24.0,0.0,6.8,1.6,13,28.2,10,9,4.0,13.0,80.0,70.0,1019.9,1018.4,7.0,8.0,20.1,22.5,0,0,25,3.0
1,15.6,31.1,0.0,9.2,13.4,13,40.8,4,2,11.0,30.0,46.0,66.0,1018.4,1014.2,0.0,0.0,23.0,22.1,0,0,29,11.0
7,24.6,31.6,0.0,7.2,10.2,0,39.0,6,4,6.0,17.0,65.0,62.0,1012.6,1010.9,7.0,7.0,28.2,29.9,0,1,6,2.0
12,4.1,18.6,0.0,3.6,1.2,5,46.0,5,3,20.0,20.0,49.0,50.0,1015.8,1010.9,4.6,5.8,14.9,17.5,0,1,16,9.0
18,20.580000000000002,24.240000000000002,0.08,5.4,9.0,10,33.0,12,8,9.0,13.0,72.6,41.2,1018.7199999999999,1016.1600000000001,7.0,4.4,21.96,27.139999999999997,0,0,10,3.0
13,18.3,29.8,0.0,8.4,10.5,2,41.0,2,0,19.0,13.0,43.0,24.0,1016.7,1013.1,3.0,2.0,21.9,29.4,0,0,13,6.0
5,4.2,13.1,0.6,1.8,1.8199999999999998,6,33.0,3,6,17.0,19.0,100.0,87.0,1026.4,1026.2,8.0,8.0,8.3,12.3,0,0,24,6.0
34,13.5,24.0,7.8,5.44,7.160000000000001,14,50.0,14,13,9.0,31.0,62.0,34.0,1008.2,1009.2,4.6,6.0,17.5,22.8,1,0,10,9.0
45,21.7,29.8,0.0,8.0,9.319999999999999,14,54.0,14,14,26.0,31.0,47.0,49.0,1011.9,1011.9,8.0,7.0,26.7,28.7,0,0,10,11.0
11,18.1,25.5,0.0,7.8,10.0,8,57.0,11,8,30.0,35.0,60.0,55.0,1011.5,1011.9,3.0,3.0,22.2,24.6,0,0,29,12.0
20,14.5,35.2,0.0,6.8,12.2,9,22.0,11,15,9.0,9.0,52.0,21.0,1016.7,1013.4,1.0,2.0,19.4,33.6,0,0,24,2.0
13,23.9,33.7,0.0,6.2,11.0,0,39.0,9,9,13.0,17.0,72.0,34.0,1014.8,1010.9,1.0,2.0,28.2,33.1,0,0,7,5.0
33,21.1,22.3,0.6,13.0,0.2,14,52.0,7,15,26.0,20.0,90.0,69.0,1003.1,1010.5,8.0,8.0,22.3,16.9,0,1,12,1.0
46,10.2,22.8,1.0,3.8,6.6,13,28.0,14,13,9.0,17.0,77.0,65.0,1011.5,1009.6,5.8,6.2,18.9,20.3,0,1,5,4.0
11,18.0,31.5,0.0,8.56,6.319999999999999,4,54.0,3,4,11.0,31.0,64.0,75.0,1013.2,1010.9,1.6,4.8,27.8,26.5,0,1,1,12.0
32,9.3,21.2,8.6,1.6,10.1,7,63.0,3,7,15.0,43.0,74.0,50.0,1018.9,1016.2,6.0,4.0,16.4,20.8,1,1,11,9.0
25,16.1,26.0,0.2,4.9799999999999995,6.880000000000001,11,50.0,15,15,19.0,26.0,85.0,51.0,1009.9,1011.1,6.0,4.4,18.6,23.3,0,0,23,12.0
40,11.2,25.3,0.0,6.959999999999999,6.68,2,30.0,7,9,2.0,7.0,61.0,38.0,1020.4,1018.2,0.8,3.8,15.9,24.2,0,0,24,2.0
47,11.3,15.9,19.4,4.88,4.340000000000001,8,61.0,11,8,26.0,33.0,85.0,69.0,1018.8,1018.9,8.0,8.0,13.0,15.2,1,0,12,8.0
12,4.0,18.7,0.0,1.0,9.2,6,43.0,5,7,17.0,26.0,79.0,55.0,1020.2,1017.8,3.0,4.4,10.8,18.4,0,0,2,9.0
40,18.3,32.4,0.4,8.96,12.32,7,39.0,14,13,7.0,20.0,63.0,41.0,1010.8,1008.4,0.4,2.4,24.5,29.9,0,0,10,1.0
31,19.8,35.8,0.0,10.0,10.2,11,39.0,8,11,15.0,17.0,21.0,43.0,1013.0,1012.1,1.0,7.0,32.2,32.9,0,0,21,1.0
12,6.4,30.4,0.0,3.6,10.6,6,46.0,3,6,0.0,17.0,100.0,29.0,1019.7,1014.0,5.2,5.0,10.7,28.3,0,0,22,3.0
7,18.2,27.7,0.0,7.8,10.5,2,28.0,0,1,15.0,13.0,53.0,56.0,1012.1,1010.0,7.0,6.0,26.1,26.9,0,1,25,11.0
12,1.4,17.8,0.0,2.6,5.5,6,20.0,3,5,0.0,9.0,100.0,58.0,1017.5,1013.6,4.4,3.6,8.5,16.6,0,0,19,9.0
45,6.5,26.1,0.0,6.6,10.42,14,35.0,6,15,13.0,11.0,66.0,31.0,1029.0,1024.6,1.0,3.4,16.6,25.6,0,0,12,9.0
8,18.2,28.1,0.0,6.0,10.7,2,35.0,9,2,19.0,26.0,64.0,51.0,1014.6,1010.3,1.0,1.0,23.4,26.4,0,0,18,5.0
5,2.0,13.3,0.0,0.8800000000000001,5.18,3,26.0,0,3,2.0,15.0,98.0,68.0,1019.5,1017.8,4.0,7.0,7.3,12.5,0,0,1,6.0
37,11.7,20.0,47.8,6.68,6.1,13,30.6,13,10,20.0,9.0,91.0,62.0,1022.1,1020.3,7.0,3.0,13.0,20.0,1,0,19,5.0
43,7.1,21.8,0.0,6.12,6.88,10,35.0,1,10,11.0,19.0,75.0,53.0,1024.2,1021.2,5.0,6.8,14.5,19.4,0,0,7,4.0
1,14.540000000000001,25.8,0.0,8.64,9.540000000000001,13,45.8,3,9,23.8,23.8,52.2,43.4,1012.7,1008.5,6.4,6.4,23.32,28.860000000000003,0,0,4,1.0
10,13.1,29.0,0.0,5.4,8.940000000000001,13,38.0,0,8,9.0,11.0,55.0,27.0,1010.5,1008.0,1.0,4.0,20.3,26.8,0,0,8,12.0
48,8.4,18.0,0.0,4.4,8.8,0,33.0,2,2,22.0,13.0,50.0,31.0,1030.3,1027.1,5.0,0.6,12.6,17.3,0,0,8,5.0
45,14.4,25.1,0.12,6.959999999999999,6.68,9,35.0,14,10,9.0,20.0,69.0,47.0,1027.3,1026.0,8.0,3.0,21.1,23.6,0,0,6,2.0
37,17.4,31.7,0.0,2.2,10.5,2,33.0,13,9,20.0,28.0,77.0,35.0,1009.1,1007.1,3.8,2.8,20.9,29.5,0,0,3,3.0
18,17.0,24.8,0.4,7.8,4.7,8,46.0,10,8,24.0,31.0,69.0,59.0,1011.5,1010.2,7.0,4.2,20.2,24.0,0,0,20,1.0
3,11.7,28.5,0.0,5.0,8.4,7,48.0,5,7,13.0,17.0,50.0,33.0,1019.0,1015.4,5.0,6.0,20.3,27.1,0,0,13,7.0
46,9.3,15.8,2.8,3.0,6.2,9,44.0,8,8,15.0,26.0,83.6,62.6,1026.5,1027.0,5.2,4.4,12.9,14.9,1,0,6,9.0
33,15.1,33.0,0.0,8.2,12.8,13,28.0,4,11,9.0,15.0,67.0,39.0,1012.3,1010.3,3.0,2.0,21.6,28.3,0,0,6,2.0
37,11.3,19.6,0.0,4.8,6.5,11,37.0,14,10,13.0,15.0,59.0,41.0,1030.9,1029.8,1.0,7.0,15.5,18.9,0,0,10,9.0
9,6.3,19.3,0.0,3.4,10.6,8,31.0,8,9,9.0,13.0,65.0,39.0,1027.9,1024.4,1.0,1.0,12.6,18.8,0,0,16,4.0
44,6.2,17.2,0.0,1.4,7.2,5,43.0,4,5,11.0,13.0,68.0,59.0,1026.2,1021.2,2.0,7.0,13.6,17.1,0,1,24,6.0
29,5.5,19.4,0.2,4.24,7.8,5,30.0,5,1,11.0,9.0,71.0,43.0,1020.4,1016.5,0.0,3.0,12.3,19.2,0,0,25,5.0
30,10.7,25.9,0.0,6.959999999999999,6.68,14,26.0,3,4,0.0,4.0,84.0,39.0,1019.24,1015.2,3.2,3.4,16.0,25.5,0,0,18,4.0
18,18.5,30.7,0.0,10.8,1.5,3,44.0,5,3,13.0,19.0,61.0,53.0,1007.2,1004.2,7.0,7.0,24.2,30.2,0,1,5,2.0
48,13.3,25.3,0.0,12.0,11.9,11,46.0,10,11,22.0,24.0,56.0,34.0,1017.7,1015.0,4.0,6.0,17.2,23.8,0,0,30,11.0
34,13.7,21.2,0.0,1.3,9.98,13,44.0,3,13,0.0,28.0,56.0,31.0,1006.1,1005.0,4.0,3.0,17.2,20.4,0,0,1,7.0
3,11.7,32.0,0.0,7.2,12.9,10,30.0,3,10,11.0,13.0,24.0,12.0,1012.8,1007.7,0.0,1.0,26.4,31.5,0,0,6,11.0
44,3.0,13.1,0.0,0.0,4.3,1,13.0,1,1,6.0,6.0,100.0,65.0,1024.2,1019.8,1.0,7.0,3.3,12.9,0,0,23,7.0
9,11.1,31.4,0.0,5.5600000000000005,11.6,15,33.0,13,7,2.0,13.0,66.0,25.0,1016.7,1013.1,1.6,2.6,20.9,30.5,0,0,1,1.0
32,10.3,24.7,0.0,5.8,12.3,1,50.0,1,9,24.0,17.0,48.0,23.0,1024.9,1020.7,0.0,1.0,16.9,24.0,0,0,22,10.0
11,16.9,24.2,3.2,2.6,12.0,12,30.0,12,9,20.0,15.0,59.0,47.0,1015.5,1013.5,2.0,2.0,21.2,23.3,1,0,10,1.0
36,10.9,21.0,1.8,6.16,8.16,8,43.0,11,8,17.0,26.0,73.0,60.0,1016.5200000000001,1014.8599999999999,3.0,3.8,15.9,17.8,1,0,25,11.0
43,11.1,16.3,0.6,3.96,6.08,15,78.0,14,13,28.0,26.0,89.0,74.0,1008.4,1012.6,5.2,4.8,14.2,13.6,0,1,26,9.0
35,6.5,21.3,0.0,5.36,5.920000000000001,15,41.0,14,13,15.0,20.0,79.0,48.0,1022.8,1019.4,5.0,6.6,14.1,20.5,0,0,9,4.0
14,21.1,29.7,0.0,7.4,12.459999999999999,5,52.0,3,5,20.0,39.0,57.0,63.0,1011.3,1006.5,3.4,3.4,26.8,27.4,0,0,18,1.0
21,22.2,34.5,0.0,9.8,12.4,6,41.0,3,7,26.0,15.0,66.0,35.0,1013.6,1009.6,2.0,4.0,25.4,33.4,0,0,12,2.0
42,16.8,18.8,10.2,3.6,0.4,15,48.0,4,7,6.0,17.0,95.0,93.0,1015.1,1010.8,8.0,8.0,17.3,18.0,1,1,24,4.0
20,-1.3,15.2,0.0,2.2,8.6,4,33.0,1,4,9.0,17.0,77.0,37.0,1023.5,1018.2,6.0,6.0,5.9,14.6,0,1,17,8.0
13,25.7,32.3,7.8,6.2,5.8,7,44.0,14,14,17.0,31.0,91.0,76.0,1010.2,1007.2,7.0,7.0,27.4,30.6,1,1,25,1.0
34,15.3,23.2,0.0,3.2,12.440000000000001,12,44.0,12,14,11.0,6.0,84.0,72.0,1019.0,1016.3,7.0,6.0,19.7,22.7,0,1,24,1.0
18,7.999999999999998,21.24,5.119999999999999,2.8,6.5,10,39.0,11,8,15.0,22.0,60.4,56.0,1022.5199999999999,1016.5,7.4,3.2,18.660000000000004,20.0,0,0,30,9.0
11,18.2,20.7,0.5599999999999999,3.2800000000000002,3.94,11,39.0,11,12,7.0,19.0,92.0,96.0,1016.5,1017.4,8.0,7.0,19.4,17.9,0,1,8,11.0
34,6.0,29.3,0.0,5.24,9.419999999999998,4,20.0,3,0,0.0,9.0,53.0,28.0,1017.8,1012.2,2.8,4.2,16.5,28.5,0,0,17,9.0
44,13.8,28.7,30.0,4.6,5.1,13,32.0,4,4,7.0,13.0,81.0,50.0,1013.24,1009.6,7.0,6.0,21.0,27.9,1,0,3,12.0
13,23.2,34.1,0.0,8.6,10.9,0,44.0,2,2,19.0,28.0,51.0,25.0,1013.8,1010.8,7.0,7.0,26.4,33.4,0,0,26,4.0
22,6.2,13.9,1.4,2.6,2.9,11,52.0,11,12,13.0,19.0,73.0,70.0,1020.1,1020.5,8.0,8.0,9.8,11.8,1,0,18,8.0
27,15.6,19.9,0.2,2.6,7.8,1,61.0,1,1,33.0,39.0,73.0,69.0,1022.1,1020.3,6.0,5.0,17.5,18.7,0,0,1,7.0
6,11.3,27.8,0.0,5.2,10.64,10,35.0,2,3,9.0,13.0,58.0,28.0,1023.7,1020.1,0.0,2.0,18.7,27.1,0,0,9,11.0
12,11.8,20.1,5.8,2.4,7.4,6,76.0,3,6,26.0,52.0,92.0,39.0,1009.7,1004.4,5.0,2.8,13.0,19.6,1,1,23,5.0
43,15.5,25.5,0.0,6.959999999999999,6.68,9,33.0,0,2,17.0,19.0,76.0,63.0,1018.8,1016.2,4.6,5.4,18.9,24.2,0,0,28,2.0
27,17.3,23.6,0.4,6.0,8.5,10,39.0,8,10,17.0,20.0,65.0,52.0,1020.8,1019.6,6.0,7.0,20.7,22.3,0,0,7,4.0
45,13.4,23.2,6.0,2.2,9.7,10,31.0,13,8,11.0,19.0,82.0,61.0,1016.3,1013.5,1.0,6.0,18.9,22.4,1,0,17,4.0
21,21.7,36.9,1.0,23.8,10.8,0,39.0,2,2,15.0,6.0,54.0,29.0,1011.9,1009.2,1.0,4.0,26.7,34.7,0,0,22,2.0
32,11.9,27.3,0.0,6.8,10.0,4,37.0,1,9,26.0,11.0,37.0,20.0,1030.3,1026.5,1.0,2.0,17.4,27.2,0,0,6,5.0
38,15.6,22.0,7.4,3.4,7.7,9,46.0,2,10,19.0,24.0,86.0,72.0,1024.3,1022.4,7.0,7.0,17.6,19.1,1,1,22,4.0
22,9.8,16.1,0.2,2.6,2.3,12,31.0,11,8,22.0,19.0,58.0,59.0,1022.3,1021.0,8.0,8.0,12.6,14.3,0,0,2,11.0
20,14.1,19.1,12.4,7.1,7.3,13,44.0,15,13,13.0,22.0,93.0,68.0,1011.6,1010.9,7.0,7.0,14.4,15.4,1,0,9,9.0
19,12.9,20.5,0.0,2.2,4.9,8,44.0,10,8,22.0,31.0,79.0,63.0,1022.3,1021.5,7.0,7.0,16.3,18.2,0,0,2,4.0
21,9.6,23.9,0.0,28.6,8.9,4,35.0,0,4,19.0,9.0,69.0,49.0,1027.2,1023.1,2.4,4.0,16.2,23.8,0,0,18,7.0
31,14.7,23.0,0.8,7.6,8.1,15,31.0,15,12,11.0,15.0,65.0,60.0,1006.4,1004.4,7.0,8.0,19.3,20.9,0,1,5,12.0
22,5.0,15.4,3.8,3.16,4.0,14,52.0,6,14,17.0,31.0,92.0,77.0,1020.9,1020.2,5.0,8.0,9.8,13.8,1,1,13,8.0
44,9.3,17.2,0.0,4.0,6.0,11,31.0,15,12,13.0,15.0,82.0,58.0,1026.2,1025.5,7.0,7.0,11.4,15.7,0,0,8,10.0
